IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP7;IP_PROP1;IP_PROP2;IP_PROP3;IP_PROP13;IP_PROP4;IP_PROP5;IP_PROP6;IP_PROP9;IP_PROP10;IP_PROP11;IP_PROP27;IP_PROP28;IC_GROUP0;IC_GROUP1;IC_GROUP2
149004;Дубленка мужская из овчины;149004;Y;;;/upload/iblock/803/803eaf8524891ad4293bf65df0a6fede.jpg;;html;/upload/iblock/363/3637f9e58a9d5d8c093d21bc003dd963.jpg;;html;;;;HAF13FW210;6;41990.0000;15990.0000;;;;Дубленка мужская из овчины Al Franco (Модель:HAF13FW210) ;Дубленка мужская из овчины, Al Franco;Дубленка мужская из овчины Al Franco (Модель:HAF13FW210) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149005;Дубленка мужская из овчины;149005;Y;;;/upload/iblock/08a/08a32a026d1f51c567c35a7b1292eacf.jpg;;html;/upload/iblock/0d8/0d874795f94eff45164692b63613f421.jpg;;html;;;;SAFP13FW194;2208;55990.0000;27990.0000;;;;Дубленка мужская из овчины AL FRANCO PLATINUM SELECTION (Модель:SAFP13FW194) ;Дубленка мужская из овчины, AL FRANCO PLATINUM SELECTION;Дубленка мужская из овчины AL FRANCO PLATINUM SELECTION (Модель:SAFP13FW194) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149006;Дубленка мужская из овчины;149006;Y;;;/upload/iblock/d4e/d4e8f1e8a4f7773d80f18852f280e259.jpg;;html;/upload/iblock/43d/43d0ad964b9da69a9d5182f0ef345d0b.jpg;;html;;;;HAF13FW209;6;39990.0000;19990.0000;;;;Дубленка мужская из овчины Al Franco (Модель:HAF13FW209) ;Дубленка мужская из овчины, Al Franco;Дубленка мужская из овчины Al Franco (Модель:HAF13FW209) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149007;Дубленка мужская из овчины;149007;Y;;;/upload/iblock/4b3/4b354ea3cde01ef59777208000924315.jpg;;html;/upload/iblock/308/308fb1205f9566e9c83ec31cb355ebf4.jpg;;html;;;;PAF13FW8;6;51990.0000;31190.0000;;;;Дубленка мужская из овчины Al Franco (Модель:PAF13FW8) ;Дубленка мужская из овчины, Al Franco;Дубленка мужская из овчины Al Franco (Модель:PAF13FW8) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149008;Кожаная куртка с подкладом из овчины;149008;Y;;;/upload/iblock/539/539ec5f13305eaf3f640bfc4b5056d4f.jpg;;html;/upload/iblock/b11/b11a90db90fdaa71b0a3a11084a501c6.jpg;;html;;;;PAF13FW22 ;6;35990.0000;10790.0000;;;;Кожаная куртка с подкладом из овчины Al Franco (Модель:PAF13FW22 ) ;Кожаная куртка с подкладом из овчины, Al Franco;Кожаная куртка с подкладом из овчины Al Franco (Модель:PAF13FW22 ) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149012;Дубленка мужская из овчины;149012;Y;;;/upload/iblock/d3d/d3db97ee5e841fc3e3c6daeb22f1403d.jpg;;html;/upload/iblock/367/367ffefc5e1db0fa55014f14db0d7afe.jpg;;html;;;;VCV13FW185;25;43990.0000;26390.0000;;;;Дубленка мужская из овчины Vericci (Модель:VCV13FW185) ;Дубленка мужская из овчины, Vericci;Дубленка мужская из овчины Vericci (Модель:VCV13FW185) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149013;Кожаная куртка с подкладом из овчины;149013;Y;;;/upload/iblock/ee0/ee0af965cd2359ee978bebb4af1afd93.jpg;;html;/upload/iblock/32c/32c62712ae127be93bafdbbbbbcbf7e5.jpg;;html;;;;PJW13FW27;28;35990.0000;21590.0000;;;;Кожаная куртка с подкладом из овчины Jorg Weber (Модель:PJW13FW27) ;Кожаная куртка с подкладом из овчины, Jorg Weber;Кожаная куртка с подкладом из овчины Jorg Weber (Модель:PJW13FW27) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149014;Дубленка мужская из овчины с отделкой мехом норки;149014;Y;;;/upload/iblock/50c/50ca47b149a4e874c99744a8b58e89e6.jpg;;html;/upload/iblock/c3d/c3da72d33989f763235857ded6030d57.jpg;;html;;;;DSJ13FW109;28;41990.0000;11990.0000;;;;Дубленка мужская из овчины с отделкой мехом норки Jorg Weber (Модель:DSJ13FW109) ;Дубленка мужская из овчины с отделкой мехом норки, Jorg Weber;Дубленка мужская из овчины с отделкой мехом норки Jorg Weber (Модель:DSJ13FW109) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149015;Дубленка мужская из овчины;149015;Y;;;/upload/iblock/337/3372278ab22c6fb48d5a57a878f5531d.jpg;;html;/upload/iblock/880/8804d6c5df8951eff35db3c6e8b05ed9.jpg;;html;;;;TUF13FW1;22;31990.0000;11990.0000;;;;Дубленка мужская из овчины UF4M (Модель:TUF13FW1) ;Дубленка мужская из овчины, UF4M;Дубленка мужская из овчины UF4M (Модель:TUF13FW1) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149016;Дубленка мужская из овчины;149016;Y;;;/upload/iblock/a80/a80ccac7759a935ee8e925d2cb9d31f6.jpg;;html;/upload/iblock/2a4/2a4b8cd2c20595cf812c2a67633d8e21.jpg;;html;;;;PJW13FW134;28;33990.0000;16990.0000;;;;Дубленка мужская из овчины Jorg Weber (Модель:PJW13FW134) ;Дубленка мужская из овчины, Jorg Weber;Дубленка мужская из овчины Jorg Weber (Модель:PJW13FW134) ;;;Осень - Зима `12-`13;Мужская коллекция;Дубленки
149017;Мужская куртка кожаная с меховым воротником из норки;149017;Y;;;/upload/iblock/7d7/7d7190ac8b52050fbf51af34771ce760.jpg;;html;/upload/iblock/5ad/5ad3975ee8f6d5ca5751397e36d81f92.jpg;;html;;;;LMJ611FW17/11;28;29990.0000;8990.0000;;;;Мужская куртка кожаная с меховым воротником из норки Jorg Weber (Модель:LMJ611FW17/11) ;Мужская куртка кожаная с меховым воротником из норки, Jorg Weber;Мужская куртка кожаная с меховым воротником из норки Jorg Weber (Модель:LMJ611FW17/11) ;;;Осень - Зима `12-`13;Мужская коллекция;Кожаные куртки
149018;Мужская куртка кожаная ;149018;Y;;;/upload/iblock/e6e/e6ecd0ee3674be614b881e9e6b0f6fe8.jpg;;html;/upload/iblock/f5c/f5c797794ee30164c80dc35c6a300257.jpg;;html;;;;PNRJ12FW203;28;25990.0000;10390.0000;;;;Мужская куртка кожаная  Jorg Weber (Модель:PNRJ12FW203) ;Мужская куртка кожаная , Jorg Weber;Мужская куртка кожаная  Jorg Weber (Модель:PNRJ12FW203) ;;;Осень - Зима `12-`13;Мужская коллекция;Кожаные куртки
