IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_TAGS;IP_PROP17;IP_PROP18;IP_PROP19;IP_PROP16;IC_GROUP0;IC_GROUP1;IC_GROUP2
120;Ахтырка;550259;Y;;;;;text;;;text;;;Центральная Украина;50.2959;34.9133;Сумская область;;;
121;Ромны;550260;Y;;;;;text;;;text;;;Центральная Украина;50.7456;33.4915;Сумская область;;;
123;Лебедин;550261;Y;;;;;text;;;text;;;Центральная Украина;50.5797;34.4772;Сумская область;;;
124;Кролевец;550262;Y;;;;;text;;;text;;;Центральная Украина;51.5500;33.3833;Сумская область;;;
128;Бурынь;550263;Y;;;;;text;;;text;;;Центральная Украина;51.2042;33.8251;Сумская область;;;
131;Воронеж;550264;Y;;;;;text;;;text;;;Центральная Украина;51.7690;33.4719;Сумская область;;;
133;Свесса;550265;Y;;;;;text;;;text;;;Центральная Украина;51.9475;33.9334;Сумская область;;;
134;Полтава;550266;Y;;;;;text;;;text;;;Центральная Украина;49.5953;34.5629;Полтавская область;;;
135;Кременчуг;550267;Y;;;;;text;;;text;;;Центральная Украина;49.1078;33.4199;Полтавская область;;;
136;Комсомольск;550268;Y;;;;;text;;;text;;;Центральная Украина;49.0149;33.6389;Полтавская область;;;
137;Лубны;550269;Y;;;;;text;;;text;;;Центральная Украина;50.0167;33.0000;Полтавская область;;;
138;Миргород;550270;Y;;;;;text;;;text;;;Центральная Украина;49.9667;33.6000;Полтавская область;;;
139;Гадяч;550271;Y;;;;;text;;;text;;;Центральная Украина;50.3704;34.0010;Полтавская область;;;
140;Карловка;550272;Y;;;;;text;;;text;;;Центральная Украина;49.4500;35.1333;Полтавская область;;;
141;Пирятин;550273;Y;;;;;text;;;text;;;Центральная Украина;50.2374;32.5039;Полтавская область;;;
154;Черкассы;550274;Y;;;;;text;;;text;;;Центральная Украина;49.4333;32.0667;Черкасская область;;;
155;Умань;550275;Y;;;;;text;;;text;;;Центральная Украина;48.7500;30.2167;Черкасская область;;;
156;Смела;550276;Y;;;;;text;;;text;;;Центральная Украина;49.2132;31.8746;Черкасская область;;;
157;Золотоноша;550277;Y;;;;;text;;;text;;;Центральная Украина;49.6716;32.0399;Черкасская область;;;
158;Канев;550278;Y;;;;;text;;;text;;;Центральная Украина;49.7500;31.4667;Черкасская область;;;
160;Корсунь-Шевченковский;550279;Y;;;;;text;;;text;;;Центральная Украина;49.4277;31.2804;Черкасская область;;;
166;Каменка;550280;Y;;;;;text;;;text;;;Центральная Украина;49.0306;32.1151;Черкасская область;;;
172;Чернобай;550281;Y;;;;;text;;;text;;;Центральная Украина;49.6706;32.3231;Черкасская область;;;
173;Кировоград;550282;Y;;;;;text;;;text;;;Центральная Украина;48.5215;32.2450;Кировоградская область;;;
174;Александрия;550283;Y;;;;;text;;;text;;;Центральная Украина;48.6716;33.0959;Кировоградская область;;;
175;Светловодск;550284;Y;;;;;text;;;text;;;Центральная Украина;49.0503;33.2242;Кировоградская область;;;
177;Знаменка;550285;Y;;;;;text;;;text;;;Центральная Украина;48.7136;32.6733;Кировоградская область;;;
184;Александровка;550286;Y;;;;;text;;;text;;;Центральная Украина;48.7264;33.3022;Кировоградская область;;;
186;Новоархангельск;550287;Y;;;;;text;;;text;;;Центральная Украина;48.6589;30.8186;Кировоградская область;;;
187;Киев;550288;Y;;;;;text;;;text;;;Центральная Украина;50.4500;30.5233;Киев;;;
188;Луцк;550289;Y;;;;;text;;;text;;;Западная Украина;50.7500;25.3358;Волынская область;;;
189;Ковель;550290;Y;;;;;text;;;text;;;Западная Украина;51.2142;24.7093;Волынская область;;;
190;Нововолынск;550291;Y;;;;;text;;;text;;;Западная Украина;50.7333;24.1667;Волынская область;;;
191;Владимир-Волынский;550292;Y;;;;;text;;;text;;;Западная Украина;50.8481;24.3222;Волынская область;;;
193;Рожище;550293;Y;;;;;text;;;text;;;Западная Украина;50.8969;25.2636;Волынская область;;;
203;Шацк;550294;Y;;;;;text;;;text;;;Западная Украина;51.5089;23.9425;Волынская область;;;
204;Старая Выжевка;550295;Y;;;;;text;;;text;;;Западная Украина;51.4408;24.4317;Волынская область;;;
205;Ровно;550296;Y;;;;;text;;;text;;;Западная Украина;50.6199;26.2516;Ровненская область;;;
206;Кузнецовск;550297;Y;;;;;text;;;text;;;Западная Украина;51.3437;25.8491;Ровненская область;;;
208;Костополь;550298;Y;;;;;text;;;text;;;Западная Украина;50.8833;26.4500;Ровненская область;;;
209;Сарны;550299;Y;;;;;text;;;text;;;Западная Украина;51.3372;26.6058;Ровненская область;;;
210;Здолбунов;550300;Y;;;;;text;;;text;;;Западная Украина;50.5134;26.2617;Ровненская область;;;
214;Дубровица;550301;Y;;;;;text;;;text;;;Западная Украина;51.5662;26.5594;Ровненская область;;;
